id,job_id,candidate_id,score_overall,score_department,score_culture,score_competencies,score_compensation,score_benefits,liked,disliked,progressed,rejected
26,5678,1117,72.5,100,50,100,50,0,2025-03-03 00:01:38,NULL,2025-03-24 11:51:33,NULL
117,5243,1248,41.9,100,37.5,8.3,25,9.1,2025-03-11 12:01:10,NULL,NULL,2025-04-07 08:16:01
134,5762,1252,74.4,100,87.5,75,25,75,2025-03-11 19:13:13,NULL,NULL,2025-05-08 09:49:15
136,5523,1252,75.6,100,81.3,41.2,100,0,2025-03-11 19:15:23,NULL,NULL,2025-04-09 10:27:14
144,5253,140,80.3,100,43.8,94.6,100,13.6,2025-03-05 09:43:00,NULL,NULL,2025-03-05 09:43:00
179,5136,180,67.7,100,56.3,46.7,80,18.8,2025-03-03 14:47:56,NULL,NULL,2025-04-11 09:49:31
272,5731,348,48.2,100,50,18.6,25,20.7,2025-03-04 21:44:12,NULL,2025-03-04 21:44:12,NULL
319,5523,667,72.2,100,50,58.8,100,0,2025-02-24 14:44:51,NULL,2025-04-09 10:26:19,NULL
349,5263,808,52.9,100,0,31.6,100,0,2025-02-12 18:26:02,NULL,2025-02-12 18:26:02,NULL
357,5664,808,69,100,0,100,80,60,2025-02-27 10:34:47,NULL,2025-02-27 10:34:47,NULL
362,5148,811,63.9,100,87.5,32,25,80,2025-02-12 22:13:03,NULL,2025-02-12 22:13:03,NULL
12666,5834,1305,63,100,43.8,63.2,50,25.9,2025-03-19 10:40:25,NULL,2025-03-20 13:02:15,NULL
12666,5834,1305,63,100,43.8,63.2,50,25.9,2025-03-19 10:40:25,NULL,2025-03-20 13:02:15,NULL
12668,5523,1227,70.6,100,62.5,100,25,0,NULL,2025-04-07 12:45:42,NULL,NULL
12669,5737,168,62.6,100,87.5,23.1,50,0,NULL,NULL,NULL,NULL
12671,5548,809,75.7,100,43.8,64,100,75,2025-03-17 20:51:38,NULL,NULL,NULL
12672,5731,728,61,100,50,62.9,25,55.2,NULL,2025-03-18 08:26:41,NULL,NULL
12673,5826,515,78.8,100,50,81.8,100,17.6,2025-03-18 11:02:07,NULL,NULL,NULL
12676,5704,808,63.3,100,0,100,50,65.5,NULL,NULL,NULL,NULL
12678,5830,1252,70.4,100,56.3,33.3,100,60,2025-04-11 15:23:25,NULL,NULL,NULL
12679,5496,917,65.6,100,50,60,50,61.5,NULL,2025-03-18 19:32:57,NULL,NULL
12680,5848,1328,56.7,100,75,20.8,25,54.5,2025-03-22 17:04:01,NULL,NULL,NULL
12681,5830,1328,64.5,100,75,11.1,80,40,2025-03-22 17:03:25,NULL,NULL,NULL
12717,5586,1360,54.7,100,68.8,20,25,50,2025-03-21 13:48:24,NULL,NULL,NULL
12718,5819,1360,68,100,68.8,14.6,100,44,2025-03-21 13:48:17,NULL,NULL,NULL
12719,5204,1360,60.2,100,37.5,11.4,100,58.8,2025-03-21 13:48:28,NULL,NULL,NULL
12720,5708,1360,71.3,100,81.3,14.6,100,46.4,2025-03-21 13:48:13,NULL,NULL,NULL
12721,5844,1360,67.5,100,75,19.4,80,58.8,2025-03-21 13:48:18,NULL,NULL,NULL
12722,5776,1360,70.6,100,81.3,14.6,100,33.3,2025-03-21 13:48:16,NULL,NULL,NULL
12723,5740,1360,56.6,100,37.5,12.1,80,64.7,2025-03-21 13:48:22,NULL,NULL,NULL
12724,5725,1360,53.6,100,50,14.6,50,48.1,2025-03-21 13:48:25,NULL,NULL,NULL
12725,5762,1360,56.5,100,81.3,14.6,25,50,2025-03-21 13:48:30,NULL,NULL,NULL
12726,5160,1360,66.2,100,81.3,13,80,33.3,2025-03-21 13:48:19,NULL,NULL,NULL
12727,5848,1360,53.1,100,68.8,14.6,25,45.5,2025-03-21 13:48:26,NULL,NULL,NULL
12728,5856,1360,62.3,100,81.3,14.6,50,66.7,2025-03-21 13:48:21,NULL,NULL,NULL
12730,5689,762,69.9,100,43.8,50,100,28.6,NULL,NULL,NULL,NULL
12731,5854,1328,61.6,100,56.3,6.3,80,100,2025-03-22 17:03:49,NULL,NULL,NULL
12733,5148,1040,62.2,100,81.3,27.6,25,100,2025-03-22 19:51:46,NULL,NULL,NULL
12793,5917,958,57.1,100,56.3,41.2,25,55.6,2025-03-26 17:17:08,NULL,2025-03-27 12:41:43,NULL
12794,5936,193,59,100,37.5,10,100,42.9,2025-03-26 21:56:57,NULL,2025-03-30 13:24:47,NULL
12813,5936,1439,56.6,100,0,95,25,57.1,2025-03-27 14:42:01,NULL,2025-03-27 15:25:33,NULL
12817,5936,1438,61.4,100,0,60,100,28.6,2025-03-27 15:12:46,NULL,2025-03-31 12:04:38,NULL
12852,5917,293,86.1,100,81.3,76.5,100,33.3,2025-03-27 18:54:19,NULL,2025-03-31 11:57:56,NULL
13204,5155,276,69.7,100,62.5,85.7,25,53.8,2025-03-28 04:45:00,NULL,2025-03-31 13:09:56,NULL
13235,5586,1468,77.1,100,62.5,100,50,30,2025-03-29 15:39:38,NULL,2025-03-31 08:51:00,NULL
